timestamp,open,high,low,close,volume
2020-02-18,46.7600,46.9200,46.2700,46.4100,45602
2020-02-14,46.9900,47.4300,46.7100,46.9700,106973
2020-02-13,46.6500,47.0700,46.6500,46.8000,25698
2020-02-12,46.9800,46.9800,46.1900,46.6900,44197
2020-02-11,46.9200,47.1500,46.5300,46.5500,50095
2020-02-10,46.3900,46.8800,46.3300,46.8500,59676
2020-02-07,46.2900,46.6400,46.1700,46.5500,43625
2020-02-06,45.6300,46.6500,45.6300,46.3700,49812
2020-02-05,47.3500,47.3500,45.6500,45.6500,92141
2020-02-04,46.1300,47.0400,45.9600,46.8800,81459
2020-02-03,45.0100,45.8400,45.0000,45.4900,103058
2020-01-31,45.6600,45.6600,44.5600,44.8100,90045
2020-01-30,45.3700,45.8600,45.1400,45.4900,70722
2020-01-29,46.2400,46.4100,45.7400,45.8100,71814
2020-01-28,45.5900,45.9800,45.2200,45.9500,81416
2020-01-27,45.0200,45.6200,44.6000,45.3100,81264
2020-01-24,46.4550,46.5100,45.5800,45.8200,36328
2020-01-23,46.2400,46.5600,46.1337,46.2500,46794
2020-01-22,46.8000,46.8600,46.1300,46.3300,69750
2020-01-21,45.4200,46.3700,45.4200,46.3700,62611
2020-01-17,46.0900,46.4400,46.0900,46.2100,47456
2020-01-16,46.3300,46.3300,45.8000,46.0400,66745
2020-01-15,45.6800,46.0900,45.6400,45.9800,145681
2020-01-14,45.5400,45.9900,45.3400,45.5400,426246
2020-01-13,45.3200,45.7200,45.3100,45.5100,310232
2020-01-10,44.7200,45.7600,44.7200,45.1000,189809
2020-01-09,45.1700,46.1000,45.1700,45.8800,104964
2020-01-08,44.2500,45.0900,44.2500,44.9100,133320
2020-01-07,44.3900,44.5800,44.2200,44.5100,67180
2020-01-06,43.8300,44.3000,43.3800,44.3000,75631
2020-01-03,43.3100,44.0100,43.2900,43.7800,69273
2020-01-02,42.5700,43.8500,42.5700,43.8500,145018
2019-12-31,42.8300,42.9300,42.4300,42.7200,95531
2019-12-30,42.5500,42.9100,42.3800,42.7600,115446
2019-12-27,42.0600,42.8400,42.0400,42.6600,127335
2019-12-26,42.2200,42.3500,42.1200,42.1300,31252
2019-12-24,42.9600,42.9600,42.1900,42.2800,25261
2019-12-23,43.7100,43.8100,42.9900,43.0600,84008
2019-12-20,42.9500,43.7800,42.7100,43.7200,183992
2019-12-19,41.9800,43.0300,41.9500,42.8700,97021
2019-12-18,41.7300,41.9400,41.5400,41.8900,71380
2019-12-17,41.6800,41.8700,41.1900,41.7700,76346
2019-12-16,41.0200,41.5800,40.7800,41.4800,243698
2019-12-13,41.2000,41.5400,40.5400,40.6800,138810
2019-12-12,41.5700,41.7700,41.0000,41.1600,59630
2019-12-11,42.1400,42.4300,41.5740,41.8100,79155
2019-12-10,41.4700,42.1700,41.3900,42.1100,61383
2019-12-09,41.2000,41.8100,41.2000,41.5700,84491
2019-12-06,40.6700,42.1800,40.6700,41.3800,139537
2019-12-05,42.4000,43.2600,39.9600,40.8700,190230
2019-12-04,42.4000,42.7600,42.0400,42.5700,106294
2019-12-03,42.3700,42.6700,42.0200,42.0300,80931
2019-12-02,43.6000,43.6000,42.1700,42.8600,145942
2019-11-29,42.9800,43.1950,42.6600,42.8300,31243
2019-11-27,43.4700,43.7600,42.9400,43.1400,62710
2019-11-26,42.6700,43.3200,42.6600,43.2400,68762
2019-11-25,42.1700,42.6000,42.1200,42.5900,56935
2019-11-22,42.1800,42.3600,41.9400,42.2300,31376
2019-11-21,42.4300,42.4300,41.9640,42.2100,116592
2019-11-20,41.9500,42.2600,41.8900,42.2600,115707
2019-11-19,42.0700,42.1300,41.5800,41.8000,70059
